matchId,tier_scraped_from,rank_scraped_from,did_meta_team_win
NA1_5359205231,PLATINUM,PLATINUM III,False
NA1_5359216847,EMERALD,EMERALD I,True
NA1_5359217001,DIAMOND,DIAMOND IV,False
NA1_5359231650,DIAMOND,DIAMOND IV,True
NA1_5359231853,IRON,IRON IV,True
NA1_5359232245,BRONZE,BRONZE I,False
NA1_5359233710,PLATINUM,PLATINUM III,True
NA1_5359241914,PLATINUM,PLATINUM II,False
NA1_5359244963,DIAMOND,DIAMOND IV,False
NA1_5359253710,IRON,IRON IV,True
NA1_5359263687,DIAMOND,DIAMOND IV,True
NA1_5359265758,PLATINUM,PLATINUM III,False
NA1_5359268561,BRONZE,BRONZE I,False
NA1_5359285975,PLATINUM,PLATINUM II,False
NA1_5359293533,BRONZE,BRONZE I,False
