matchId,tier_scraped_from,rank_scraped_from,did_meta_team_win
NA1_5368356433,GOLD,GOLD IV,False
NA1_5368377356,IRON,IRON IV,True
NA1_5368390531,IRON,IRON IV,False
NA1_5368395709,IRON,IRON IV,True
NA1_5368402147,IRON,IRON IV,True
NA1_5368422112,DIAMOND,DIAMOND II,False
NA1_5368437307,SILVER,SILVER II,False
NA1_5368469826,GOLD,GOLD IV,False
NA1_5368475183,EMERALD,EMERALD II,True
NA1_5368498459,DIAMOND,DIAMOND II,True
NA1_5368524726,DIAMOND,DIAMOND IV,False
NA1_5368527356,DIAMOND,DIAMOND I,False
NA1_5368566208,EMERALD,EMERALD II,True
NA1_5368567935,GOLD,GOLD III,True
NA1_5368569280,DIAMOND,DIAMOND IV,False
NA1_5368572659,IRON,IRON IV,False
NA1_5368581024,SILVER,SILVER III,True
NA1_5368586547,DIAMOND,DIAMOND IV,False
NA1_5368587208,GOLD,GOLD III,True
NA1_5368595436,SILVER,SILVER III,False
NA1_5368621691,IRON,IRON IV,True
NA1_5368622336,BRONZE,BRONZE III,False
NA1_5368626026,PLATINUM,PLATINUM II,False
NA1_5368634494,GOLD,GOLD III,True
NA1_5368642311,SILVER,SILVER III,False
NA1_5368647409,BRONZE,BRONZE III,True
NA1_5368650168,DIAMOND,DIAMOND II,False
NA1_5368677511,SILVER,SILVER III,True
NA1_5368679282,EMERALD,EMERALD IV,True
NA1_5368681246,DIAMOND,DIAMOND IV,True
NA1_5368686901,EMERALD,EMERALD IV,False
NA1_5368709144,EMERALD,EMERALD IV,True
NA1_5368720752,GOLD,GOLD III,True
NA1_5368735596,PLATINUM,PLATINUM I,False
NA1_5368762407,PLATINUM,PLATINUM IV,True
NA1_5368765810,EMERALD,EMERALD III,True
NA1_5368801901,EMERALD,EMERALD III,True
NA1_5368819641,IRON,IRON II,False
NA1_5368823555,EMERALD,EMERALD IV,True
NA1_5368829471,IRON,IRON II,False
NA1_5368834610,GOLD,GOLD I,True
NA1_5368846993,IRON,IRON II,True
NA1_5368847028,IRON,IRON II,False
NA1_5368875526,GOLD,GOLD II,True
NA1_5368905913,GOLD,GOLD II,False
NA1_5368959439,GOLD,GOLD II,False
NA1_5368969221,BRONZE,BRONZE II,False
NA1_5368983619,EMERALD,EMERALD IV,True
NA1_5369011872,SILVER,SILVER I,False
NA1_5369050019,DIAMOND,DIAMOND II,True
NA1_5369055910,EMERALD,EMERALD III,True
NA1_5369061005,PLATINUM,PLATINUM I,True
NA1_5369083567,SILVER,SILVER IV,False
NA1_5369106379,IRON,IRON I,True
NA1_5369108735,DIAMOND,DIAMOND III,True
NA1_5369120094,IRON,IRON I,True
NA1_5369129416,DIAMOND,DIAMOND III,False
